media_id,file_path,ps,width,height,duration,,mtime_begin,,mtime_end,,nominal_date,media_type,is_compressed,equipment,location,file_ext
158,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GOPR0043-320.MP4,A,320,176,1564563,02:36:03,1395950940,20:09:00,1395952504,20:35:04,2/14/2014,Video,1,gopro,PS A,.mp4
159,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP010043-320.MP4,A,320,176,1564563,02:36:03,1395951340,20:15:40,1395952904,20:41:44,2/14/2014,Video,1,gopro,PS A,.mp4
160,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP020043-320.MP4,A,320,176,1564563,02:36:03,1395951740,20:22:20,1395953304,20:48:24,2/14/2014,Video,1,gopro,PS A,.mp4
161,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP030043-320.MP4,A,320,176,1564563,02:36:03,1395952142,20:29:02,1395953706,20:55:06,2/14/2014,Video,1,gopro,PS A,.mp4
162,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP040043-320.MP4,A,320,176,1564563,02:36:03,1395952542,20:35:42,1395954106,21:01:46,2/14/2014,Video,1,gopro,PS A,.mp4
163,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP050043-320.MP4,A,320,176,1564563,02:36:03,1395952942,20:42:22,1395954506,21:08:26,2/14/2014,Video,1,gopro,PS A,.mp4
164,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP060043-320.MP4,A,320,176,1564563,02:36:03,1395953342,20:49:02,1395954906,21:15:06,2/14/2014,Video,1,gopro,PS A,.mp4
165,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP070043-320.MP4,A,320,176,1564563,02:36:03,1395953742,20:55:42,1395955306,21:21:46,2/14/2014,Video,1,gopro,PS A,.mp4
166,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP080043-320.MP4,A,320,176,1564563,02:36:03,1395954144,21:02:24,1395955708,21:28:28,2/14/2014,Video,1,gopro,PS A,.mp4
167,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP090043-320.MP4,A,320,176,1564563,02:36:03,1395954544,21:09:04,1395956108,21:35:08,2/14/2014,Video,1,gopro,PS A,.mp4
168,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP100043-320.MP4,A,320,176,1564563,02:36:03,1395954946,21:15:46,1395956510,21:41:50,2/14/2014,Video,1,gopro,PS A,.mp4
169,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP110043-320.MP4,A,320,176,1564563,02:36:03,1395955346,21:22:26,1395956910,21:48:30,2/14/2014,Video,1,gopro,PS A,.mp4
170,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP120043-320.MP4,A,320,176,1564563,02:36:03,1395955746,21:29:06,1395957310,21:55:10,2/14/2014,Video,1,gopro,PS A,.mp4
171,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS A/GoPro/GP130043-320.MP4,A,320,176,301601,11:46:41,1395957089,21:51:29,1395957390,21:56:30,2/14/2014,Video,1,gopro,PS A,.mp4
172,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GOPR0013-320.MP4,B,320,176,3737,01:02:17,1395957393,21:56:33,1395957396,21:56:36,2/14/2014,Video,1,gopro,PS B,.mp4
173,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GOPR0014-320.MP4,B,320,176,1564563,02:36:03,1395956230,21:37:10,1395957794,22:03:14,2/14/2014,Video,1,gopro,PS B,.mp4
174,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP010014-320.MP4,B,320,176,1564563,02:36:03,1395956632,21:43:52,1395958196,22:09:56,2/14/2014,Video,1,gopro,PS B,.mp4
175,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP020014-320.MP4,B,320,176,1564563,02:36:03,1395957034,21:50:34,1395958598,22:16:38,2/14/2014,Video,1,gopro,PS B,.mp4
176,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP030014-320.MP4,B,320,176,1564563,02:36:03,1395957436,21:57:16,1395959000,22:23:20,2/14/2014,Video,1,gopro,PS B,.mp4
177,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP040014-320.MP4,B,320,176,1564563,02:36:03,1395957840,22:04:00,1395959404,22:30:04,2/14/2014,Video,1,gopro,PS B,.mp4
178,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP050014-320.MP4,B,320,176,1564563,02:36:03,1395958238,22:10:38,1395959802,22:36:42,2/14/2014,Video,1,gopro,PS B,.mp4
179,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP060014-320.MP4,B,320,176,1564563,02:36:03,1395958640,22:17:20,1395960204,22:43:24,2/14/2014,Video,1,gopro,PS B,.mp4
180,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP070014-320.MP4,B,320,176,1564563,02:36:03,1395959042,22:24:02,1395960606,22:50:06,2/14/2014,Video,1,gopro,PS B,.mp4
181,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP080014-320.MP4,B,320,176,1564563,02:36:03,1395959446,22:30:46,1395961010,22:56:50,2/14/2014,Video,1,gopro,PS B,.mp4
182,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP090014-320.MP4,B,320,176,1564563,02:36:03,1395959848,22:37:28,1395961412,23:03:32,2/14/2014,Video,1,gopro,PS B,.mp4
183,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP100014-320.MP4,B,320,176,1564563,02:36:03,1395960250,22:44:10,1395961814,23:10:14,2/14/2014,Video,1,gopro,PS B,.mp4
184,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP110014-320.MP4,B,320,176,1564563,02:36:03,1395960652,22:50:52,1395962216,23:16:56,2/14/2014,Video,1,gopro,PS B,.mp4
185,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP120014-320.MP4,B,320,176,1564563,02:36:03,1395961054,22:57:34,1395962618,23:23:38,2/14/2014,Video,1,gopro,PS B,.mp4
186,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP130014-320.MP4,B,320,176,1564563,02:36:03,1395961454,23:04:14,1395963018,23:30:18,2/14/2014,Video,1,gopro,PS B,.mp4
187,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP140014-320.MP4,B,320,176,1564563,02:36:03,1395961854,23:10:54,1395963418,23:36:58,2/14/2014,Video,1,gopro,PS B,.mp4
188,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS B/GoPro/GP150014-320.MP4,B,320,176,972805,06:13:25,1395962696,23:24:56,1395963668,23:41:08,2/14/2014,Video,1,gopro,PS B,.mp4
189,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GOPR0011-320.MP4,C,320,176,1564563,02:36:03,1395962508,23:21:48,1395964072,23:47:52,2/14/2014,Video,1,gopro,PS C,.mp4
190,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP010011-320.MP4,C,320,176,1564563,02:36:03,1395962908,23:28:28,1395964472,23:54:32,2/14/2014,Video,1,gopro,PS C,.mp4
191,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP020011-320.MP4,C,320,176,1564563,02:36:03,1395963310,23:35:10,1395964874,00:01:14,2/14/2014,Video,1,gopro,PS C,.mp4
192,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP030011-320.MP4,C,320,176,1564563,02:36:03,1395963712,23:41:52,1395965276,00:07:56,2/14/2014,Video,1,gopro,PS C,.mp4
193,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP040011-320.MP4,C,320,176,1564563,02:36:03,1395964110,23:48:30,1395965674,00:14:34,2/14/2014,Video,1,gopro,PS C,.mp4
194,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP050011-320.MP4,C,320,176,1564563,02:36:03,1395964510,23:55:10,1395966074,00:21:14,2/14/2014,Video,1,gopro,PS C,.mp4
195,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP060011-320.MP4,C,320,176,1564563,02:36:03,1395964912,00:01:52,1395966476,00:27:56,2/14/2014,Video,1,gopro,PS C,.mp4
196,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP070011-320.MP4,C,320,176,1564563,02:36:03,1395965312,00:08:32,1395966876,00:34:36,2/14/2014,Video,1,gopro,PS C,.mp4
197,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP080011-320.MP4,C,320,176,1564563,02:36:03,1395965712,00:15:12,1395967276,00:41:16,2/14/2014,Video,1,gopro,PS C,.mp4
198,/Volumes/NO NAME/analysis/Compressed/2014-02-14/PS C/GoPro/GP090011-320.MP4,C,320,176,1564563,02:36:03,1395966114,00:21:54,1395967678,00:47:58,2/14/2014,Video,1,gopro,PS C,.mp4
